S20, 19
S20, Blotteritem, {'party2': 'B27', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 27.37499999999898, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B34', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 35.97499999999962, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B37', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 73.16250000000807, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B37', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 132.25000000001666, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B31', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 178.23749999997483, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B24', 'price': 111.0, 'qty': 1, 'time': 182.31249999997112, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B37', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 233.93749999992417, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B27', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 256.5624999999036, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B23', 'price': 108.0, 'qty': 1, 'time': 283.23749999987933, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B37', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 332.59999999983444, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B20', 'price': 101.0, 'qty': 1, 'time': 357.4624999998118, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B31', 'price': 127.66666666666667, 'qty': 1, 'time': 373.4374999997973, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B37', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 422.28749999975287, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B21', 'price': 102.33333333333333, 'qty': 1, 'time': 433.162499999743, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B20', 'price': 101.0, 'qty': 1, 'time': 456.0374999997222, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B34', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 500.26249999968195, 'type': 'Trade'}
