S20, 5
S25, Blotteritem, {'party2': 'B32', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 32.362499999998796, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B37', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 104.40000000001517, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B28', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 115.13750000001761, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B37', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 147.262500000003, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B32', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 169.7999999999825, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B37', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 287.3124999998756, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B32', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 334.2749999998329, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B36', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 395.0999999997776, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B29', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 407.1624999997666, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B29', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 491.2999999996901, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B29', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 527.7249999997284, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B31', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 562.6874999998556, 'type': 'Trade'}
S25, Blotteritem, {'party2': 'B29', 'party1': 'S25', 'price': 114.0, 'qty': 1, 'time': 583.7749999999323, 'type': 'Trade'}
S29, 1
S29, Blotteritem, {'party2': 'B31', 'party1': 'S29', 'price': 124.0, 'qty': 1, 'time': 584.8624999999363, 'type': 'Trade'}
S05, 5
S05, Blotteritem, {'party2': 'B34', 'party1': 'S05', 'price': 96.33882030178326, 'qty': 1, 'time': 481.22499999969926, 'type': 'Trade'}
S05, Blotteritem, {'party2': 'S05', 'party1': 'B20', 'price': 99, 'qty': 1, 'time': 501.24999999968105, 'type': 'Trade'}
S05, Blotteritem, {'party2': 'B18', 'party1': 'S05', 'price': 92.33333333333333, 'qty': 1, 'time': 518.1749999996937, 'type': 'Trade'}
S05, Blotteritem, {'party2': 'B27', 'party1': 'S05', 'price': 97.0, 'qty': 1, 'time': 554.3999999998255, 'type': 'Trade'}
S05, Blotteritem, {'party2': 'S05', 'party1': 'B13', 'price': 83.0, 'qty': 1, 'time': 599.7374999999904, 'type': 'Trade'}
B16, 4
B16, Blotteritem, {'party2': 'S14', 'party1': 'B16', 'price': 91.0, 'qty': 1, 'time': 511.81249999967145, 'type': 'Trade'}
B16, Blotteritem, {'party2': 'S04', 'party1': 'B16', 'price': 91.0, 'qty': 1, 'time': 539.0374999997696, 'type': 'Trade'}
B16, Blotteritem, {'party2': 'S10', 'party1': 'B16', 'price': 91.0, 'qty': 1, 'time': 567.4999999998731, 'type': 'Trade'}
B16, Blotteritem, {'party2': 'S02', 'party1': 'B16', 'price': 91.0, 'qty': 1, 'time': 593.6249999999682, 'type': 'Trade'}
B17, 12
B17, Blotteritem, {'party2': 'S06', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 68.76250000000707, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S00', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 140.07500000000954, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S11', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 183.89999999996968, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S04', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 221.86249999993515, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S00', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 254.1374999999058, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S04', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 306.94999999985777, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S06', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 330.2249999998366, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S06', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 444.49999999973267, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S13', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 509.3249999996737, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S08', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 540.3249999997743, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'S08', 'party1': 'B17', 'price': 93.0, 'qty': 1, 'time': 544.7999999997905, 'type': 'Trade'}
B17, Blotteritem, {'party2': 'B17', 'party1': 'S14', 'price': 85.0, 'qty': 1, 'time': 598.8874999999873, 'type': 'Trade'}
B14, 2
B14, Blotteritem, {'party2': 'S04', 'party1': 'B14', 'price': 84.11111111111111, 'qty': 1, 'time': 542.162499999781, 'type': 'Trade'}
B14, Blotteritem, {'party2': 'S11', 'party1': 'B14', 'price': 84.88294467306812, 'qty': 1, 'time': 596.1874999999775, 'type': 'Trade'}
B15, 3
B15, Blotteritem, {'party2': 'S00', 'party1': 'B15', 'price': 85.46319158664838, 'qty': 1, 'time': 70.85000000000754, 'type': 'Trade'}
B15, Blotteritem, {'party2': 'S12', 'party1': 'B15', 'price': 86.71604938271605, 'qty': 1, 'time': 541.6499999997791, 'type': 'Trade'}
B15, Blotteritem, {'party2': 'S13', 'party1': 'B15', 'price': 85.77777777777779, 'qty': 1, 'time': 590.9124999999583, 'type': 'Trade'}
B12, 1
B12, Blotteritem, {'party2': 'S12', 'party1': 'B12', 'price': 80.0, 'qty': 1, 'time': 552.4249999998183, 'type': 'Trade'}
B13, 2
B13, Blotteritem, {'party2': 'S06', 'party1': 'B13', 'price': 83.0, 'qty': 1, 'time': 543.6499999997864, 'type': 'Trade'}
B13, Blotteritem, {'party2': 'S05', 'party1': 'B13', 'price': 83.0, 'qty': 1, 'time': 599.7374999999904, 'type': 'Trade'}
B10, 0
B11, 1
B11, Blotteritem, {'party2': 'S01', 'party1': 'B11', 'price': 69.25925925925925, 'qty': 1, 'time': 9.699999999999983, 'type': 'Trade'}
S15, 17
S15, Blotteritem, {'party2': 'B29', 'party1': 'S15', 'price': 110, 'qty': 1, 'time': 30.5624999999988, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B31', 'party1': 'S15', 'price': 103, 'qty': 1, 'time': 55.15000000000398, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B32', 'party1': 'S15', 'price': 88, 'qty': 1, 'time': 74.71250000000842, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B36', 'party1': 'S15', 'price': 107, 'qty': 1, 'time': 119.36250000001857, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'S15', 'party1': 'B26', 'price': 113.95485136486936, 'qty': 1, 'time': 148.73750000000166, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'S15', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 178.9374999999742, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B29', 'party1': 'S15', 'price': 99, 'qty': 1, 'time': 190.76249999996344, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B29', 'party1': 'S15', 'price': 99, 'qty': 1, 'time': 234.04999999992407, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B32', 'party1': 'S15', 'price': 95, 'qty': 1, 'time': 257.8874999999024, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'S15', 'party1': 'B30', 'price': 96, 'qty': 1, 'time': 304.6249999998599, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B32', 'party1': 'S15', 'price': 99, 'qty': 1, 'time': 309.7624999998552, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B37', 'party1': 'S15', 'price': 113, 'qty': 1, 'time': 350.9124999998178, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'S15', 'party1': 'B31', 'price': 97.71666666666667, 'qty': 1, 'time': 377.98749999979316, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B22', 'party1': 'S15', 'price': 105, 'qty': 1, 'time': 421.1624999997539, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B36', 'party1': 'S15', 'price': 99, 'qty': 1, 'time': 462.86249999971596, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B33', 'party1': 'S15', 'price': 89, 'qty': 1, 'time': 513.8874999996781, 'type': 'Trade'}
S15, Blotteritem, {'party2': 'B24', 'party1': 'S15', 'price': 90, 'qty': 1, 'time': 548.5624999998042, 'type': 'Trade'}
S07, 19
S07, Blotteritem, {'party2': 'S07', 'party1': 'B37', 'price': 100.57037037037037, 'qty': 1, 'time': 15.774999999999638, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B36', 'party1': 'S07', 'price': 111, 'qty': 1, 'time': 41.96250000000098, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B29', 'party1': 'S07', 'price': 88, 'qty': 1, 'time': 70.93750000000756, 'type': 'Trade'}
